config_id,repeat_id,error_mode,forward_eps,grad_eps,layer_types,final_loss
0,32,both,0.0001,0.0001,none,2.332419
0,33,both,0.0001,0.0001,none,2.332417
0,34,both,0.0001,0.0001,none,2.332418
0,35,both,0.0001,0.0001,none,2.332417
0,36,both,0.0001,0.0001,none,2.332419
0,37,both,0.0001,0.0001,none,2.332417
0,38,both,0.0001,0.0001,none,2.332418
0,39,both,0.0001,0.0001,none,2.332417
0,40,both,0.0001,0.0001,none,2.332417
0,41,both,0.0001,0.0001,none,2.332417
0,42,both,0.0001,0.0001,none,2.332418
0,43,both,0.0001,0.0001,none,2.332416
0,44,both,0.0001,0.0001,none,2.33242
0,45,both,0.0001,0.0001,none,2.332417
0,46,both,0.0001,0.0001,none,2.332416
0,47,both,0.0001,0.0001,none,2.332417
0,48,both,0.0001,0.0001,none,2.332418
0,49,both,0.0001,0.0001,none,2.332415
1,20,both,0.0001,0.0001,MLP,2.332421
1,21,both,0.0001,0.0001,MLP,2.332415
1,22,both,0.0001,0.0001,MLP,2.332417
1,23,both,0.0001,0.0001,MLP,2.332419
1,24,both,0.0001,0.0001,MLP,2.332418
1,25,both,0.0001,0.0001,MLP,2.332416
1,26,both,0.0001,0.0001,MLP,2.332417
1,27,both,0.0001,0.0001,MLP,2.332417
1,28,both,0.0001,0.0001,MLP,2.332417
1,29,both,0.0001,0.0001,MLP,2.332415
1,30,both,0.0001,0.0001,MLP,2.332416
1,31,both,0.0001,0.0001,MLP,2.332418
1,32,both,0.0001,0.0001,MLP,2.332417
1,33,both,0.0001,0.0001,MLP,2.332415
1,34,both,0.0001,0.0001,MLP,2.332419
1,35,both,0.0001,0.0001,MLP,2.332417
1,36,both,0.0001,0.0001,MLP,2.332416
1,37,both,0.0001,0.0001,MLP,2.332416
1,38,both,0.0001,0.0001,MLP,2.332417
1,39,both,0.0001,0.0001,MLP,2.332418
1,40,both,0.0001,0.0001,MLP,2.332416
1,41,both,0.0001,0.0001,MLP,2.332417
1,42,both,0.0001,0.0001,MLP,2.332418
1,43,both,0.0001,0.0001,MLP,2.332417
1,44,both,0.0001,0.0001,MLP,2.332412
1,45,both,0.0001,0.0001,MLP,2.332417
1,46,both,0.0001,0.0001,MLP,2.332415
1,47,both,0.0001,0.0001,MLP,2.332418
1,48,both,0.0001,0.0001,MLP,2.332418
1,49,both,0.0001,0.0001,MLP,2.332418
2,20,both,0.0001,0.0001,LayerNorm,2.332418
2,21,both,0.0001,0.0001,LayerNorm,2.332417
2,22,both,0.0001,0.0001,LayerNorm,2.332418
